state,skill,count,state_total,demand_score
Chhattisgarh,Soft Skills (Communication/Leadership),53,311,0.17041800643086816
Chhattisgarh,Software Testing / QA,4,311,0.012861736334405145
Chhattisgarh,Supply Chain & Logistics,16,311,0.05144694533762058
Delhi,Agile & Scrum,3,1932,0.0015527950310559005
Delhi,Backend Frameworks,10,1932,0.005175983436853002
Delhi,Business Analysis,7,1932,0.0036231884057971015
Delhi,Business Intelligence (BI),17,1932,0.008799171842650104
Delhi,C# / .NET,3,1932,0.0015527950310559005
Delhi,Cloud Computing (AWS/GCP/Azure),17,1932,0.008799171842650104
Delhi,Customer Support / BPO,349,1932,0.18064182194616976
Delhi,Cybersecurity,6,1932,0.003105590062111801
Delhi,Data Engineering (ETL/Big Data),2,1932,0.0010351966873706005
Delhi,Data Science & Analytics,30,1932,0.015527950310559006
Delhi,DevOps & CI/CD,11,1932,0.005693581780538302
Delhi,ERP & CRM,26,1932,0.013457556935817806
Delhi,Excel,11,1932,0.005693581780538302
Delhi,Finance & Accounting,131,1932,0.06780538302277432
Delhi,Frontend Frameworks,13,1932,0.006728778467908903
Delhi,Git / Version Control,5,1932,0.002587991718426501
Delhi,Human Resources (HR) & Recruitment,124,1932,0.06418219461697723
Delhi,Industrial & Manufacturing,96,1932,0.049689440993788817
Delhi,Java,4,1932,0.002070393374741201
Delhi,JavaScript,10,1932,0.005175983436853002
Delhi,Machine Learning & AI,8,1932,0.004140786749482402
Delhi,Marketing & SEO,174,1932,0.09006211180124224
Delhi,Mobile App Development,3,1932,0.0015527950310559005
Delhi,Project & Product Management,8,1932,0.004140786749482402
Delhi,Python,8,1932,0.004140786749482402
Delhi,SAP,2,1932,0.0010351966873706005
Delhi,SQL / Relational DBs,10,1932,0.005175983436853002
Delhi,Sales & Business Development,611,1932,0.3162525879917184
Delhi,Soft Skills (Communication/Leadership),168,1932,0.08695652173913043
Delhi,Software Testing / QA,23,1932,0.011904761904761904
Delhi,Supply Chain & Logistics,42,1932,0.021739130434782608
Gujarat,Agile & Scrum,50,6226,0.008030838419530999
Gujarat,Backend Frameworks,41,6226,0.006585287504015419
Gujarat,Business Analysis,93,6226,0.014937359460327659
Gujarat,Business Intelligence (BI),31,6226,0.004979119820109219
Gujarat,C# / .NET,11,6226,0.0017667844522968198
Gujarat,C/C++,30,6226,0.004818503051718599
Gujarat,Cloud Computing (AWS/GCP/Azure),83,6226,0.013331191776421458
Gujarat,Customer Support / BPO,350,6226,0.05621586893671699
Gujarat,Cybersecurity,75,6226,0.012046257629296498
Gujarat,Data Engineering (ETL/Big Data),19,6226,0.0030517185994217797
Gujarat,Data Science & Analytics,160,6226,0.025698682942499197
Gujarat,DevOps & CI/CD,55,6226,0.0088339222614841
Gujarat,ERP & CRM,190,6226,0.030517185994217797
Gujarat,Excel,122,6226,0.019595245743655638
Gujarat,Finance & Accounting,421,6226,0.06761965949245101
Gujarat,Frontend Frameworks,104,6226,0.016704143912624477
Gujarat,Git / Version Control,49,6226,0.00787022165114038
Gujarat,Human Resources (HR) & Recruitment,338,6226,0.054288467716029555
Gujarat,Industrial & Manufacturing,404,6226,0.06488917442981047
Gujarat,Java,46,6226,0.007388371345968519
Gujarat,JavaScript,81,6226,0.013009958239640218
Gujarat,Machine Learning & AI,61,6226,0.009797622871827819
Gujarat,Marketing & SEO,431,6226,0.06922582717635721
Gujarat,Mobile App Development,31,6226,0.004979119820109219
Gujarat,NoSQL DBs,23,6226,0.0036941856729842595
Gujarat,Project & Product Management,171,6226,0.027465467394796016
Gujarat,Python,55,6226,0.0088339222614841
Gujarat,SAP,198,6226,0.03180212014134275
Gujarat,SQL / Relational DBs,119,6226,0.01911339543848378
Gujarat,Sales & Business Development,1112,6226,0.17860584645036942
Gujarat,Soft Skills (Communication/Leadership),969,6226,0.15563764857051077
Gujarat,Software Testing / QA,108,6226,0.017346610986186957
Gujarat,Supply Chain & Logistics,195,6226,0.031320269836170894
Haryana,Agile & Scrum,171,9755,0.01752947206560738
Haryana,Backend Frameworks,78,9755,0.007995899538698104
Haryana,Business Analysis,204,9755,0.020912352639671963
Haryana,Business Intelligence (BI),112,9755,0.011481291645310098
Haryana,C# / .NET,35,9755,0.0035879036391594054
Haryana,C/C++,82,9755,0.00840594566888775
Haryana,Cloud Computing (AWS/GCP/Azure),270,9755,0.027678113787801127
Haryana,Customer Support / BPO,818,9755,0.08385443362378267
Haryana,Cybersecurity,200,9755,0.020502306509482315
Haryana,Data Engineering (ETL/Big Data),124,9755,0.012711430035879037
Haryana,Data Science & Analytics,413,9755,0.04233726294208098
Haryana,DevOps & CI/CD,185,9755,0.018964633521271142
Haryana,ERP & CRM,231,9755,0.023680164018452077
Haryana,Excel,182,9755,0.01865709892362891
Haryana,Finance & Accounting,631,9755,0.06468477703741671
Haryana,Frontend Frameworks,235,9755,0.02409021014864172
Haryana,Git / Version Control,60,9755,0.006150691952844695
Haryana,Human Resources (HR) & Recruitment,394,9755,0.040389543823680166
Haryana,Industrial & Manufacturing,343,9755,0.03516145566376217
Haryana,Java,145,9755,0.01486417221937468
Haryana,JavaScript,149,9755,0.015274218349564326
Haryana,Machine Learning & AI,128,9755,0.013121476166068683
Haryana,Marketing & SEO,458,9755,0.046950281906714506
Haryana,Mobile App Development,81,9755,0.008303434136340338
Haryana,NoSQL DBs,32,9755,0.0032803690415171708
Haryana,Project & Product Management,478,9755,0.04900051255766274
Haryana,Python,344,9755,0.03526396719630959
Haryana,SAP,214,9755,0.02193746796514608
Haryana,SQL / Relational DBs,378,9755,0.03874935930292158
Haryana,Sales & Business Development,1102,9755,0.11296770886724757
Haryana,Soft Skills (Communication/Leadership),980,9755,0.10046130189646335
Haryana,Software Testing / QA,229,9755,0.023475140953357253
Haryana,Supply Chain & Logistics,269,9755,0.027575602255253715
Jharkhand,Backend Frameworks,1,193,0.0051813471502590676
Jharkhand,Business Analysis,2,193,0.010362694300518135
Jharkhand,C# / .NET,1,193,0.0051813471502590676
Jharkhand,Customer Support / BPO,9,193,0.046632124352331605
Jharkhand,Cybersecurity,3,193,0.015544041450777202
Jharkhand,Data Science & Analytics,3,193,0.015544041450777202
Jharkhand,DevOps & CI/CD,1,193,0.0051813471502590676
Jharkhand,ERP & CRM,2,193,0.010362694300518135
Jharkhand,Excel,3,193,0.015544041450777202
Jharkhand,Finance & Accounting,9,193,0.046632124352331605
Jharkhand,Frontend Frameworks,2,193,0.010362694300518135
Jharkhand,Git / Version Control,1,193,0.0051813471502590676
Jharkhand,Human Resources (HR) & Recruitment,12,193,0.06217616580310881
Jharkhand,Industrial & Manufacturing,11,193,0.05699481865284974
Jharkhand,JavaScript,1,193,0.0051813471502590676
Jharkhand,Marketing & SEO,17,193,0.08808290155440414
Jharkhand,Project & Product Management,7,193,0.03626943005181347
Jharkhand,SAP,11,193,0.05699481865284974
Jharkhand,SQL / Relational DBs,2,193,0.010362694300518135
Jharkhand,Sales & Business Development,46,193,0.23834196891191708
Jharkhand,Soft Skills (Communication/Leadership),41,193,0.21243523316062177
Jharkhand,Software Testing / QA,2,193,0.010362694300518135
Jharkhand,Supply Chain & Logistics,6,193,0.031088082901554404
Karnataka,Agile & Scrum,1407,56137,0.025063683488608227
Karnataka,Backend Frameworks,682,56137,0.012148850134492403
Karnataka,Business Analysis,824,56137,0.014678376115574399
Karnataka,Business Intelligence (BI),619,56137,0.011026595649927855
Karnataka,C# / .NET,298,56137,0.00530844184762278
Karnataka,C/C++,891,56137,0.015871884853127172
Karnataka,Cloud Computing (AWS/GCP/Azure),2779,56137,0.04950389226356948
Karnataka,Customer Support / BPO,2720,56137,0.04845289203199316
Karnataka,Cybersecurity,989,56137,0.01761761405133869
Karnataka,Data Engineering (ETL/Big Data),963,56137,0.017154461406915227
Karnataka,Data Science & Analytics,2158,56137,0.038441669487147515
Karnataka,DevOps & CI/CD,2282,56137,0.04065055132978249
Karnataka,ERP & CRM,1627,56137,0.028982667402960613
Karnataka,Excel,358,56137,0.006377255642446159
Karnataka,Finance & Accounting,2140,56137,0.0381210253487005
Karnataka,Frontend Frameworks,2739,56137,0.04879134973368723
Karnataka,Git / Version Control,727,56137,0.012950460480609936
Karnataka,Human Resources (HR) & Recruitment,1748,56137,0.031138108555854426
Karnataka,Industrial & Manufacturing,1551,56137,0.027628836596184335
Karnataka,Java,2282,56137,0.04065055132978249
Karnataka,JavaScript,1749,56137,0.031155922119101485
Karnataka,Machine Learning & AI,1143,56137,0.02036090279138536
Karnataka,Marketing & SEO,1381,56137,0.024600530844184763
Karnataka,Mobile App Development,917,56137,0.016335037497550636
Karnataka,NoSQL DBs,231,56137,0.004114933110070007
Karnataka,Project & Product Management,2380,56137,0.04239628052799402
Karnataka,Python,2424,56137,0.04318007731086449
Karnataka,SAP,2745,56137,0.048898231113169564
Karnataka,SQL / Relational DBs,3251,56137,0.05791189411618006
Karnataka,Sales & Business Development,4122,56137,0.07342750770436611
Karnataka,Soft Skills (Communication/Leadership),2828,56137,0.05037675686267524
Karnataka,Software Testing / QA,2070,56137,0.03687407592140656
Karnataka,Supply Chain & Logistics,1112,56137,0.019808682330726614
Kerala,Agile & Scrum,20,1792,0.011160714285714286
Kerala,Backend Frameworks,17,1792,0.009486607142857142
Kerala,Business Analysis,19,1792,0.010602678571428572
Kerala,Business Intelligence (BI),10,1792,0.005580357142857143
Kerala,C# / .NET,16,1792,0.008928571428571428
Kerala,C/C++,11,1792,0.006138392857142857
Kerala,Cloud Computing (AWS/GCP/Azure),59,1792,0.032924107142857144
Kerala,Customer Support / BPO,83,1792,0.04631696428571429
Kerala,Cybersecurity,26,1792,0.014508928571428572
Kerala,Data Engineering (ETL/Big Data),23,1792,0.012834821428571428
Kerala,Data Science & Analytics,44,1792,0.024553571428571428
Kerala,DevOps & CI/CD,66,1792,0.036830357142857144
Kerala,ERP & CRM,42,1792,0.0234375
Kerala,Excel,22,1792,0.012276785714285714
Kerala,Finance & Accounting,84,1792,0.046875
Kerala,Frontend Frameworks,59,1792,0.032924107142857144
Kerala,Git / Version Control,30,1792,0.016741071428571428
Kerala,Human Resources (HR) & Recruitment,75,1792,0.04185267857142857
Kerala,Industrial & Manufacturing,41,1792,0.022879464285714284
Kerala,Java,44,1792,0.024553571428571428
Kerala,JavaScript,45,1792,0.025111607142857144
Kerala,Machine Learning & AI,20,1792,0.011160714285714286
Kerala,Marketing & SEO,97,1792,0.05412946428571429
Kerala,Mobile App Development,17,1792,0.009486607142857142
Kerala,NoSQL DBs,6,1792,0.0033482142857142855
Kerala,Project & Product Management,49,1792,0.02734375
Kerala,Python,50,1792,0.027901785714285716
Kerala,SAP,26,1792,0.014508928571428572
Kerala,SQL / Relational DBs,79,1792,0.04408482142857143
Kerala,Sales & Business Development,284,1792,0.15848214285714285
Kerala,Soft Skills (Communication/Leadership),241,1792,0.13448660714285715
Kerala,Software Testing / QA,53,1792,0.029575892857142856
Kerala,Supply Chain & Logistics,34,1792,0.018973214285714284
Madhya Pradesh,Backend Frameworks,1,80,0.0125
Madhya Pradesh,Customer Support / BPO,3,80,0.0375
Madhya Pradesh,Data Engineering (ETL/Big Data),1,80,0.0125
Madhya Pradesh,DevOps & CI/CD,2,80,0.025
Madhya Pradesh,Finance & Accounting,5,80,0.0625
Madhya Pradesh,Frontend Frameworks,1,80,0.0125
Madhya Pradesh,Human Resources (HR) & Recruitment,1,80,0.0125
Madhya Pradesh,Industrial & Manufacturing,5,80,0.0625
Madhya Pradesh,Java,2,80,0.025
Madhya Pradesh,JavaScript,1,80,0.0125
Madhya Pradesh,Marketing & SEO,4,80,0.05
Madhya Pradesh,Project & Product Management,3,80,0.0375
Madhya Pradesh,Python,1,80,0.0125
Madhya Pradesh,SAP,3,80,0.0375
Madhya Pradesh,Sales & Business Development,31,80,0.3875
Madhya Pradesh,Soft Skills (Communication/Leadership),11,80,0.1375
Madhya Pradesh,Software Testing / QA,2,80,0.025
Madhya Pradesh,Supply Chain & Logistics,3,80,0.0375
Maharashtra,Agile & Scrum,736,37948,0.019394961526299145
Maharashtra,Backend Frameworks,321,37948,0.008458943817856014
Maharashtra,Business Analysis,707,37948,0.01863075787920312
Maharashtra,Business Intelligence (BI),293,37948,0.00772109202065985
Maharashtra,C# / .NET,139,37948,0.003662907136080953
Maharashtra,C/C++,394,37948,0.01038262886054601
Maharashtra,Cloud Computing (AWS/GCP/Azure),1290,37948,0.033993886370823234
Maharashtra,Customer Support / BPO,2538,37948,0.06688099504585222
Maharashtra,Cybersecurity,731,37948,0.01926320227679983
Maharashtra,Data Engineering (ETL/Big Data),453,37948,0.011937388004637926
Maharashtra,Data Science & Analytics,1335,37948,0.035179719616317065
Maharashtra,DevOps & CI/CD,1000,37948,0.02635184989986297
Maharashtra,ERP & CRM,1085,37948,0.028591757141351322
Maharashtra,Excel,420,37948,0.011067776957942447
Maharashtra,Finance & Accounting,2022,37948,0.05328344049752293
Maharashtra,Frontend Frameworks,1362,37948,0.035891219563613366
Maharashtra,Git / Version Control,363,37948,0.009565721513650259
Maharashtra,Human Resources (HR) & Recruitment,1311,37948,0.03454727521872036
Maharashtra,Industrial & Manufacturing,1586,37948,0.04179403394118267
Maharashtra,Java,1024,37948,0.02698429429745968
Maharashtra,JavaScript,828,37948,0.02181933171708654
Maharashtra,Machine Learning & AI,418,37948,0.011015073258142721
Maharashtra,Marketing & SEO,1720,37948,0.04532518182776431
Maharashtra,Mobile App Development,482,37948,0.012701591651733951
Maharashtra,NoSQL DBs,120,37948,0.0031622219879835563
Maharashtra,Project & Product Management,1790,37948,0.04716981132075472
Maharashtra,Python,1155,37948,0.03043638663434173
Maharashtra,SAP,1284,37948,0.033835775271424055
Maharashtra,SQL / Relational DBs,1678,37948,0.04421840413197006
